timestamp,pid,elapsed_sec,gpu_mem_used_mib,gpu_mem_total_mib,gpu_util_pct,cpu_total_pct,sys_mem_used_gib,sys_mem_total_gib,python_rss_mib
2026-05-31T21:02:43,157776,0,0,6144,0,40.27,29.18,63.35,446.5
2026-05-31T21:02:48,157776,6.46,0,6144,0,54.19,29.31,63.35,545.3
2026-05-31T21:02:54,157776,11.24,9,6144,0,45.69,30.35,63.35,1533.9
2026-05-31T21:02:59,157776,17.8,263,6144,3,60.03,30.39,63.35,1534
2026-05-31T21:03:03,157776,22.88,263,6144,4,61.97,30.45,63.35,1534.3
2026-05-31T21:03:08,157776,27.19,263,6144,32,68.45,30.49,63.35,1534.3
2026-05-31T21:03:15,157776,31.62,263,6144,3,78.79,30.61,63.35,1535.2
2026-05-31T21:03:21,157776,38.3,263,6144,3,81.05,31.3,63.35,1535.2
2026-05-31T21:03:26,157776,44.47,263,6144,2,65.46,31.71,63.35,1535.4
2026-05-31T21:03:32,157776,49.99,263,6144,1,57.64,32.06,63.35,1536.2
2026-05-31T21:03:37,157776,55.56,263,6144,51,62.85,32.23,63.35,1536.9
2026-05-31T21:03:41,157776,60.66,263,6144,5,54.21,32.24,63.35,1536.8
2026-05-31T21:03:46,157776,64.53,263,6144,2,71.75,31.61,63.35,1537.4
2026-05-31T21:03:53,157776,70.17,263,6144,43,70.1,31.4,63.35,1537.4
2026-05-31T21:03:59,157776,76.58,263,6144,2,68.29,31.46,63.35,1537.4
2026-05-31T21:04:06,157776,82.31,263,6144,3,67.59,31.5,63.35,1537.4
2026-05-31T21:04:13,157776,89.65,263,6144,60,77.12,31.51,63.35,1537.4
2026-05-31T21:04:19,157776,96.22,263,6144,3,73.59,31.64,63.35,1537.4
2026-05-31T21:04:23,157776,102.57,263,6144,21,54.86,31.74,63.35,1537.4
2026-05-31T21:04:28,157776,107.08,263,6144,3,59.76,31.79,63.35,1537.4
2026-05-31T21:04:35,157776,111.81,263,6144,32,63.46,31.9,63.35,1537.4
2026-05-31T21:04:42,157776,118.67,263,6144,4,69.37,31.9,63.35,1537.4
2026-05-31T21:04:48,157776,125.84,263,6144,3,56.03,31.12,63.35,1537.7
2026-05-31T21:04:53,157776,131.85,263,6144,24,59.5,31.18,63.35,1537.7
2026-05-31T21:04:58,157776,136.56,263,6144,26,53.24,31.27,63.35,1537.7
2026-05-31T21:05:04,157776,141.94,263,6144,22,57.47,31.47,63.35,0
